identifier,votes,pref,value
1449520834-1,"['1-4', '1-1', '1-2', '1-5', '1-3']",0,1.0
1451355357-1,"['3-3', '3-2', '3-1', '1-1', '1-2', '1-5', '1-4', '1-3']",0,1.0
1479540841-1,"['3-1', '3-3', '3-2', '1-3', '1-4', '1-1', '1-5', '1-2', '2-1', '2-2', '6-1', '6-2', '5-1', '5-2', '8-1', '8-2', '7-1', '7-2', '4-2', '4-4', '4-3', '4-1', '4-5']",0,1.0
1538495604-1,"['3-1', '3-3', '3-2', '5-1', '5-2']",0,1.0
1581500737-1,"['1-4', '1-3', '1-1', '1-2', '1-5']",0,1.0
1587818167-1,['1-4'],0,1.0
1637462975-1,"['1-4', '1-3', '1-5', '1-1', '1-2']",0,1.0
1652834250-1,"['1-4', '4-2', '6-2', '3-3', '8-1']",0,1.0
1702545905-1,"['3-1', '3-3', '3-2', '1-1', '1-3', '1-5']",0,1.0
1747808298-1,"['3-2', '3-3', '3-1', '1-2', '1-4']",0,1.0
1760512727-1,"['3-3', '3-2', '3-1', '4-5', '1-5']",0,1.0
1761027798-1,"['3-1', '3-2', '3-3', '1-1', '1-2']",0,1.0
1772057604-1,"['3-3', '2-1', '1-5', '4-5', '6-1']",0,1.0
1776479929-1,"['1-4', '1-3', '1-2', '1-1', '1-5']",0,1.0
1782261918-1,"['1-4', '1-2', '1-1', '1-3', '1-5']",0,1.0
1795495869-1,"['1-4', '1-5', '1-2', '1-3', '1-1']",0,1.0
1841018024-1,"['3-1', '3-3', '3-2', '1-4', '1-5']",0,1.0
1842883636-1,"['3-1', '3-3', '3-2', '1-3', '1-4']",0,1.0
1843787541-1,"['1-4', '1-5', '1-3', '3-3', '3-2']",0,1.0
1900393585-1,"['3-3', '3-1', '3-2', '1-1', '1-3', '4-5']",0,1.0
1964768091-1,"['3-1', '3-2', '3-3', '1-1', '1-3']",0,1.0
1998348578-1,"['3-1', '3-2', '3-3', '1-4', '1-1', '1-5', '1-3', '1-2', '2-2', '2-1', '5-2', '5-1', '8-2', '8-1', '6-2', '6-1', '7-2', '7-1', '4-2', '4-3', '4-4', '4-1', '4-5']",0,1.0
2009721505-1,"['1-2', '1-4', '4-1', '4-5', '2-2']",0,1.0
2060250689-1,"['3-2', '2-2', '1-2', '2-1', '3-1']",0,1.0
2073003716-1,"['1-4', '1-5', '1-2', '1-3', '1-1']",0,1.0
2078262120-1,"['1-4', '1-1', '1-5', '1-3', '1-2', '3-2', '3-1', '3-3', '6-2', '6-1', '4-2', '4-1', '4-4', '4-3', '4-5', '8-2', '8-1', '2-2', '2-1', '5-2', '5-1']",0,1.0
2089324183-1,"['1-4', '1-5', '1-1', '2-1', '3-3']",0,1.0
2091336194-1,"['1-4', '1-3', '1-1', '1-5', '1-2']",0,1.0
2091807580-1,"['3-2', '3-3', '3-1', '6-1', '6-2']",0,1.0
2093173848-1,"['1-4', '1-5', '1-1', '1-2', '1-3']",0,1.0
2094148704-1,"['3-3', '3-1', '3-2', '2-2', '1-3']",0,1.0
2097452264-1,"['3-2', '3-3', '3-1', '1-3', '1-2']",0,1.0
2103080285-1,"['1-4', '1-3', '1-1', '1-2', '1-5']",0,1.0
2119185146-1,"['1-2', '1-3', '1-1', '1-4', '1-5']",0,1.0
2125481301-1,"['3-3', '3-1', '3-2', '5-2', '5-1']",0,1.0
2135786143-1,"['3-3', '3-2', '1-4', '1-1', '3-1']",0,1.0
2141750135-1,"['3-3', '1-3', '6-1', '8-2', '1-1']",0,1.0
4587378-1,"['1-3', '1-5', '4-5', '4-4', '1-2', '1-1', '1-4', '4-2', '4-1', '4-3']",0,1.0
31085975-1,"['1-2', '1-4', '1-3', '4-2', '4-1']",0,1.0
56904430-1,"['1-2', '1-5', '1-3', '1-4', '1-1']",0,1.0
64545455-1,"['1-2', '1-3', '1-1', '1-5', '3-3']",0,1.0
92470137-1,"['1-1', '1-2', '1-3', '3-2', '7-1']",0,1.0
125330262-1,"['1-2', '1-4', '1-3', '1-1', '1-5', '3-2', '3-1', '3-3']",0,1.0
146196021-1,"['1-1', '1-2', '4-5', '4-3', '1-3']",0,1.0
162327669-1,"['1-2', '1-3', '1-1', '1-4', '1-5']",0,1.0
164091768-1,"['1-3', '1-4', '1-2', '1-1', '1-5', '2-1']",0,1.0
188086114-1,"['1-2', '1-3', '3-1', '3-2', '3-3', '1-5', '1-4', '1-1']",0,1.0
228394447-1,"['1-1', '1-2', '5-2', '5-1', '7-2']",0,1.0
263667665-1,"['1-2', '1-5', '1-1', '6-2', '6-1']",0,1.0
267600221-1,"['1-1', '1-3', '1-2', '1-5', '1-4', '3-1', '3-3', '3-2', '2-1', '2-2']",0,1.0
299853964-1,"['1-2', '1-4', '1-5', '1-3', '1-1']",0,1.0
316017442-1,"['1-3', '1-4', '1-1', '1-2', '1-5', '2-2']",0,1.0
319153146-1,"['1-3', '1-4', '1-2', '1-5', '1-1']",0,1.0
327813275-1,"['1-3', '1-5', '1-4', '1-2', '1-1']",0,1.0
359980061-1,"['1-2', '1-4', '1-1', '1-3', '1-5', '3-3', '3-2', '3-1', '6-2', '6-1']",0,1.0
